hostname,Condor_Version,Condor_Build_ID,cpu_frequency,cpu_model,CpuCacheSize,DetectedCpus,DetectedMemory,Disk,eth_link_speed,glibc_version,has_afs,has_avx,has_scratch365,has_singularity,has_sse4_1,has_sse4_2,has_ssse3,has_vast,HasFileTransfer,HasJICLocalConfig,HasJobDeferral,HasMPI,HasTDP,HasTransferInputRemaps,HasVM,JavaMFlops,JobPreemptions,JobRankPreemptions,KFlops,Mips,OpSysLongName,has_avx2
d8civy096.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,444241856,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1739.982666,0,0,1649082,25090,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy140.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,446385255,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1733.751831,0,0,1687612,25154,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy115.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,452345647,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1732.144165,0,0,1681263,25216,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas018.crc.nd.edu,8.8.14,550418,2.40GHz,Intel(R) Xeon(R) CPU E5-2630 v3,20480,16,63908,458244052,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1536.506226,0,0,1522678,20790,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy072.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,447541297,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1740.678589,0,0,1708512,25314,Red Hat Enterprise Linux release 8.9 (Ootpa),
d8civy006.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,433243620,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1734.528076,0,0,1681126,25172,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas299.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1348736332,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1883.18335,0,0,1759827,26336,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy118.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,451600128,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1741.859497,0,0,1713407,25266,Red Hat Enterprise Linux release 8.9 (Ootpa),
cclvm05.crc.nd.edu,8.8.14,550418,unknown,,512,4,7820,11730604,,glibc-2.17-326.el7_9.x86_64,true,true,false,true,true,true,true,,"file,ftp,http,data,https",true,true,true,true,true,false,,0,0,4580058,25066,Red Hat Enterprise Linux Server release 7.9 (Maipo),
qa-2080ti-002.crc.nd.edu,8.8.14,550418,2.10GHz,Intel(R) Xeon(R) Silver 4110 CPU,11264,32,95769,923504696,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1538.108276,0,0,1725014,24989,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy071.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,463189748,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1737.253174,0,0,1671205,25102,Red Hat Enterprise Linux release 8.9 (Ootpa),
d12chas049.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,946832540,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1865.009521,0,0,1755349,26460,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas232.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1349485900,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1875.129517,1,0,1737582,26140,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas058.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,63427,952071512,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1875.088989,0,0,1717813,25152,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas136.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1374986048,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1891.584717,1,0,1711993,26381,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas327.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1348195272,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1879.841919,0,0,1733114,26348,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d12chas317.crc.nd.edu,8.8.14,550418,2.50GHz,Intel(R) Xeon(R) CPU E5-2680 v3,15360,24,256707,1357172352,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1858.266602,0,0,1721642,26143,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d8civy141.crc.nd.edu,8.8.14,550418,2.60GHz,Intel(R) Xeon(R) CPU E5-2650 v2,20480,16,31845,447197280,1000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1739.692139,0,0,1700869,25286,Red Hat Enterprise Linux release 8.9 (Ootpa),
disc04.crc.nd.edu,8.8.14,550418,2.40GHz,Intel(R) Xeon(R) CPU           E5620,12288,8,31998,1875733748,1000Mb/s,glibc-2.17-326.el7_9.x86_64,true,,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,861.430298,0,0,1740203,19067,Red Hat Enterprise Linux Server release 7.9 (Maipo),
disc18.crc.nd.edu,8.8.14,550418,2.40GHz,Intel(R) Xeon(R) CPU           E5620,12288,8,31998,1876965208,1000Mb/s,glibc-2.17-326.el7_9.x86_64,true,,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,860.767334,0,0,1580549,16930,Red Hat Enterprise Linux Server release 7.9 (Maipo),
qa-xp-016.crc.nd.edu,8.8.14,550418,2.10GHz,Intel(R) Xeon(R) Silver 4110 CPU,11264,32,95775,913088852,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1512.496826,0,0,1736767,24961,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc122.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,894280908,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3068.793945,0,0,5445022,30674,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc119.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,896698868,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3019.460938,0,0,5463899,30628,Red Hat Enterprise Linux release 8.9 (Ootpa),true
qa-xp-015.crc.nd.edu,8.8.14,550418,2.10GHz,Intel(R) Xeon(R) Silver 4110 CPU,11264,32,95775,915034136,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,1468.632446,0,0,1765424,24958,Red Hat Enterprise Linux release 8.9 (Ootpa),true
d32cepyc127.crc.nd.edu,8.8.14,550418,unknown,,512,64,256876,876366820,10000Mb/s,glibc-2.28-236.el8.7.x86_64,true,true,true,true,true,true,true,true,"file,ftp,http,data,https",true,true,true,true,true,false,3066.353516,0,0,5441691,30238,Red Hat Enterprise Linux release 8.9 (Ootpa),true
